corp_code,corp_name,ticker,market,is_listed,bizr_no,jurir_no,corp_cls,extracted_at
00273615,비케이탑스,030790,,False,2158144176,1101110766703,E,2026-03-14
00274933,신세계푸드,031440,KOSPI,True,2158147377,1101110305288,Y,2026-03-14
00275260,엑큐리스,048460,,False,1338129117,1350110074357,E,2026-03-14
00275710,써미트테크놀로지,039000,,False,2148607682,1101111293739,E,2026-03-14
00275808,브이케이,048760,,False,2298129311,1101111462889,E,2026-03-14
00276083,피노,033790,KOSDAQ,True,1078157410,1101110674724,K,2026-03-14
00276834,KX하이텍,052900,KOSDAQ,True,3128125747,1648110010780,K,2026-03-14
00277727,미래에셋굿라이프혼합형자녀를위한펀드5-1,037500,,False,2118689104,1101111815236,E,2026-03-14
00277736,한일네트웍스,046110,,False,1398137667,1201110175423,E,2026-03-14
00277985,한강구조조정기금,036060,,False,1018146026,1101111589766,E,2026-03-14
00280688,스튜디오에스,046140,,False,1168176255,1101111757694,E,2026-03-14
00287724,코디콤,041800,,False,2138627711,1101111329112,E,2026-03-14
00287788,정상제이엘에스,040420,KOSDAQ,True,1308142974,1243110039762,K,2026-03-14
00287812,에코바이오,038870,KOSDAQ,True,2298128817,1101111448128,K,2026-03-14
00288343,삼영이엔씨,065570,KOSDAQ,True,6018126156,1801110172667,K,2026-03-14
00288495,HC홈센타,060560,KOSDAQ,True,5048117069,1760110003901,K,2026-03-14
00288653,퓨쳐비젼,042570,,False,3128133403,1101110564371,E,2026-03-14
00291152,디비엘,041500,,False,3038114080,1101110935283,E,2026-03-14
